"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Camp Far West","","","CA00227","","CA00227","South Sutter Water District","Public Utility","Public Utility","1","No","","No","Irrigation","Irrigation;Recreation;Hydroelectric","Federal Energy Regulatory Commission","02997-01-01","39.0501","-121.3165","California","Yuba","Sheridan                                          ","5","Bear River                    ","California, Congressional District 01","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","185","185","203","203","Greater than 100 feet","6040","1953000","1963","1960-1969","","137280","137280","93740","2020","285","104500","Uncontrolled","300","","","","","","","2024-05-30","2023-03-27","1","High","Fair","2023-09-29","Yes","2021-12-17","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Lake Arthur","","","CA00356","","CA00356","Placer County Water Agency","Local Government","Local Government","0","No","","No","Other","Other;Irrigation;Water Supply","California","1030.008","38.9635","-121.0257","California","Placer","Clipper Gap","0","Sfk Dry Creek","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","44","","38","44","25-50 feet","290","21653","1909","1900-1909","","87","87","","7","1.6","","","","","","","","","","2024-02-22","2021-12-20","1","High","Satisfactory","2017-09-01","Yes","2022-05-19","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Johnson Ranch","","","CA01479","","CA01479","Beckstoffer Vineyards","Private","Private","0","No","","No","Irrigation","Irrigation","California","7000.104","38.9656","-123.13300000000001","California","Mendocino","Hopland","0.5","","California, Congressional District 02","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","26","","18","26","25-50 feet","680","0","","Undetermined","","182","182","","14","","","","","","","","","","","2024-02-22","2022-12-05","1","High","Fair","2017-09-01","Yes","2022-05-09","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Thermalito Afterbay","","","CA00042","","CA00042","California Department of Water Resources","State","State","1","No","DWR","No","Water Supply","Water Supply;Irrigation;Recreation;Hydroelectric","Federal Energy Regulatory Commission","02100-05-01","39.4771","-121.6871","California","Butte","Marysville","20","Feather River - Off Stream    ","California, Congressional District 01","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","Earth","Rock","39","32","39","39","25-50 feet","42000","5020000","1967","1960-1969","","57041","","57041","6900","13.3","17000","Controlled","70","","","","","","","2024-01-19","2023-08-23","1","High","Fair","2023-09-29","Yes","2023-01-03","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Donner Lake","","","CA00537","","CA00537","Truckee Meadows Water Authority","Public Utility","Public Utility","0","No","","Yes","Water Supply","Water Supply;Irrigation","California","301","39.3236","-120.2372","California","Nevada","Truckee","3","","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Buttress","Buttress","","","16","","14","16","Less than 25 feet","45","0","1927","1920-1929","","10300","10300","","960","14","","","","","","","","","","2022-12-23","2021-08-26","1","Significant","Satisfactory","2017-09-01","Yes","2022-07-27","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Merced Falls","","","CA00341","","CA00341","Merced Irrigation District","Public Utility","Public Utility","1","No","","No","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02467-01-01","37.522200000000005","-120.32950000000001","California","Merced","Snelling                                          ","7","Merced River                  ","California, Congressional District 13","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Earth;Gravity","Concrete","Unlisted/Unknown","43","29","34","43","25-50 feet","1679","","1901","1900-1909","","678","678","603","65","1020","44000","Controlled","610","","","","","","Tainter (radial)3","2024-01-19","2023-08-09","1","High","Fair","2023-09-29","Yes","2022-12-29","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Perris Hill Reservoir","","","CA00151","","CA00151","City of San Bernardino","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","17.006","34.1331","-117.26400000000001","California","San Bernardino","City of San Bernardino","0","Offstream","California, Congressional District 33","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Other","Other","","","31","","30","31","25-50 feet","1150","0","1962","1960-1969","","31","31","","1","","","","","","","","","","","2024-02-22","2022-06-09","1","High","Satisfactory","2017-09-01","Yes","2020-01-10","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Lake Madrone","","","CA00804","","CA00804","Lake Madrone Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Recreation","California","1004","39.6498","-121.40790000000001","California","Butte","N/A","","Berry Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","37","","28","37","25-50 feet","525","13581","1931","1930-1939","","200","200","","25","14.9","","","","","","","","","","2024-02-22","2022-01-27","1","High","Satisfactory","2017-09-01","Yes","2020-06-29","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Cull Creek","","","CA00840","","CA00840","Alameda County Public Works Agency","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Recreation;Water Supply","California","1020.002","37.703700000000005","-122.0567","California","Alameda","Castro Valley","0","Cull Creek","California, Congressional District 14","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","55","","37","55","51-100 feet","440","71000","1963","1960-1969","","140","140","","18","6.2","","","","","","","","","","2024-02-22","2022-07-22","1","High","Satisfactory","2017-09-01","Yes","2022-09-07","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Mustang Creek","","","CA01097","","CA01097","County of Merced","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction","California","666","37.5062","-120.65570000000001","California","Merced","Town of Bellico","1.5","Mustang Creek","California, Congressional District 13","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","18","","8","18","Less than 25 feet","1600","78360","1975","1970-1979","","700","700","","190","12.1","","","","","","","","","","2022-12-23","2022-05-06","1","Significant","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Henry J. Mills No. 2","","","CA01349","","CA01349","Metropolitan Water District Of Southern California","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply","California","35.016","33.9212","-117.3236","California","Riverside","Mission Grove","0.1","Offstream","California, Congressional District 39","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","34","","30","34","25-50 feet","2044","246200","1996","1990-1999","","92","92","","5","0.1","","","","","","","","","","2024-02-22","2021-11-30","1","High","Satisfactory","2017-09-01","Yes","2020-06-02","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Runkle","","","CA00313","","CA00313","Ventura County Watershed Protection District","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction","California","86.003","34.244800000000005","-118.73100000000001","California","Ventura","Simi Valley","0","Runkle Canyon","California, Congressional District 26","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","41","","32","41","25-50 feet","250","33500","1949","1940-1949","","100","100","","7","1.86","","","","","","","","","","2024-02-22","2022-08-10","1","High","Satisfactory","2017-09-01","Yes","2022-09-22","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Mockingbird Canyon","","","CA00305","","CA00305","City of Riverside","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Irrigation","California","81.003","33.8952","-117.41560000000001","California","Riverside","Arlington","1.5","Mockingbird Can","California, Congressional District 39","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","74","","55","74","51-100 feet","1525","140000","1914","1910-1919","","1250","1250","","64","13.13","","","","","","","","","","2024-02-22","2022-04-07","1","High","Satisfactory","2017-09-01","Yes","2019-12-12","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Heenan Lake","","","CA00641","","CA00641","California Department of Fish and Wildlife","State","State","0","No","","Yes","Water Supply","Water Supply;Irrigation","California","1.083","38.655300000000004","-119.6648","California","Alpine","","","Tr Efk Carson R","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","39","","34","39","25-50 feet","600","35000","1929","1920-1929","","3100","3100","","124","4.2","","","","","","","","","","2022-12-23","2022-06-22","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Yucaipa No. 2","","","CA01132","","CA01132","San Bernardino Valley Municipal Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Recreation","California","2009.002","34.0531","-117.0498","California","San Bernardino","Yucaipa","0.8","Tr Yucaipa Cr","California, Congressional District 23","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","49","","43","49","25-50 feet","480","200000","1978","1970-1979","","100","100","","10","0.56","","","","","","","","","","2024-02-22","2022-05-11","1","High","Satisfactory","2017-09-01","Yes","2022-02-24","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Phoenix","","","CA00389","","CA00389","Tuolumne Utilities District","Public Utility","Public Utility","0","No","","No","Other","Other;Irrigation;Water Supply","California","550.007","37.9998","-120.32730000000001","California","Tuolumne","Sonora","3","Sullivan Creek","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","52","","48","52","51-100 feet","795","28836","1880","Before 1900","","455","455","","76","24.400000000000002","","","","","","","","","","2024-02-22","2021-09-22","1","High","Satisfactory","2017-09-01","Yes","2022-09-13","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
